Broker      Stock       Value       Changes     
Broker 4    Commodity   1275        89          
Broker 2    Banking     275         89          
Broker 3    Banking     275         89          
Broker 4    Banking     275         89          
Broker 1    Retail      120         90          
Broker 2    Commodity   1282        90          
Broker 4    Commodity   1282        90          
Broker 1    Technology  362         90          
Broker 2    Technology  362         90          
Broker 3    Technology  362         90          
Broker 4    Technology  362         90          
Broker 2    Banking     278         90          
Broker 3    Banking     278         90          
Broker 4    Banking     278         90          
Broker 4    Retail      120         90          
Broker 2    Commodity   1301        91          
Broker 4    Commodity   1301        91          
Broker 1    Technology  364         91          
Broker 2    Technology  364         91          
Broker 3    Technology  364         91          
Broker 4    Technology  364         91          
Broker 2    Banking     279         91          
Broker 3    Banking     279         91          
Broker 4    Banking     279         91          
Broker 1    Retail      121         91          
Broker 4    Retail      121         91          
Broker 2    Commodity   1308        92          
Broker 4    Commodity   1308        92          
Broker 1    Technology  365         92          
Broker 2    Technology  365         92          
Broker 3    Technology  365         92          
Broker 4    Technology  365         92          
Broker 2    Banking     280         92          
Broker 3    Banking     280         92          
Broker 4    Banking     280         92          
Broker 1    Retail      122         92          
Broker 4    Retail      122         92          
Broker 2    Commodity   1320        93          
Broker 4    Commodity   1320        93          
Broker 1    Technology  366         93          
Broker 2    Technology  366         93          
Broker 3    Technology  366         93          
Broker 4    Technology  366         93          
Broker 1    Retail      123         93          
Broker 2    Banking     283         93          
Broker 3    Banking     283         93          
Broker 4    Banking     283         93          
Broker 4    Retail      123         93          
Broker 2    Commodity   1328        94          
Broker 4    Commodity   1328        94          
Broker 1    Technology  370         94          
Broker 2    Technology  370         94          
Broker 3    Technology  370         94          
Broker 4    Technology  370         94          
Broker 2    Banking     284         94          
Broker 3    Banking     284         94          
Broker 4    Banking     284         94          
Broker 1    Retail      124         94          
Broker 4    Retail      124         94          
Broker 2    Commodity   1347        95          
Broker 4    Commodity   1347        95          
Broker 1    Technology  371         95          
Broker 2    Technology  371         95          
Broker 3    Technology  371         95          
Broker 4    Technology  371         95          
Broker 2    Banking     287         95          
Broker 3    Banking     287         95          
Broker 4    Banking     287         95          
Broker 1    Retail      125         95          
Broker 4    Retail      125         95          
Broker 2    Commodity   1349        96          
Broker 4    Commodity   1349        96          
Broker 1    Technology  375         96          
Broker 2    Technology  375         96          
Broker 3    Technology  375         96          
Broker 4    Technology  375         96          
Broker 2    Banking     288         96          
Broker 3    Banking     288         96          
Broker 1    Retail      126         96          
Broker 4    Retail      126         96          
Broker 4    Banking     288         96          
Broker 2    Commodity   1356        97          
Broker 4    Commodity   1356        97          
Broker 1    Technology  377         97          
Broker 2    Technology  377         97          
Broker 3    Technology  377         97          
Broker 4    Technology  377         97          
Broker 1    Retail      127         97          
Broker 4    Retail      127         97          
Broker 2    Banking     290         97          
Broker 3    Banking     290         97          
Broker 4    Banking     290         97          
Broker 2    Commodity   1374        98          
Broker 4    Commodity   1374        98          
Broker 1    Technology  381         98          
Broker 2    Technology  381         98          
Broker 3    Technology  381         98          
Broker 4    Technology  381         98          
Broker 1    Retail      128         98          
Broker 4    Retail      128         98          
Broker 2    Banking     291         98          
Broker 3    Banking     291         98          
Broker 4    Banking     291         98          
Broker 2    Commodity   1383        99          
Broker 4    Commodity   1383        99          
Broker 1    Technology  385         99          
Broker 2    Technology  385         99          
Broker 3    Technology  385         99          
Broker 4    Technology  385         99          
Broker 1    Retail      129         99          
Broker 4    Retail      129         99          
Broker 2    Banking     293         99          
Broker 3    Banking     293         99          
Broker 4    Banking     293         99          
Broker 2    Commodity   1394        100         
Broker 4    Commodity   1394        100         
Broker 1    Technology  388         100         
Broker 2    Technology  388         100         
Broker 3    Technology  388         100         
Broker 4    Technology  388         100         
Broker 2    Banking     295         100         
Broker 3    Banking     295         100         
Broker 4    Banking     295         100         
Broker 1    Retail      130         100         
Broker 4    Retail      130         100         
